case_id,grid,steps_observed,wallclock_seconds,wallclock_hours,seconds_per_observed_step
A1_baseline_bulge,128,11999,4608.0,1.28,0.3840320026668889
A2_no_bulge,128,300,138.0,0.03833333333333333,0.46
A3_window_2um,128,5999,2193.0,0.6091666666666666,0.36556092682113683
A4_window_3p5um,128,5999,2403.0,0.6675,0.40056676112685446
A5_radius_0p5um,128,1700,602.0,0.16722222222222222,0.35411764705882354
A6_radius_1um,128,5999,2010.0,0.5583333333333333,0.3350558426404401
B1_mobility_0p3,128,5999,2495.0,0.6930555555555555,0.4159026504417403
B2_mobility_3,128,5999,2496.0,0.6933333333333334,0.41606934489081515
B3_temperature_1000K,128,5999,1985.0,0.5513888888888889,0.3308884814135689
B4_temperature_1200K,128,5999,1991.0,0.5530555555555555,0.331888648108018
B5_rate_300,128,1799,715.0,0.1986111111111111,0.39744302390216785
B6_rate_3000,128,17999,6990.0,1.9416666666666667,0.38835490860603367
D1_grid192_bulge,192,5999,4974.0,1.3816666666666666,0.829138189698283
D2_grid192_control,192,300,302.0,0.08388888888888889,1.0066666666666666
D3_grid256_bulge,256,3999,6012.0,1.67,1.5033758439609903
E1_subcritical_fixture,128,5999,2278.0,0.6327777777777778,0.37972995499249873
E2_supercritical_fixture,128,5999,1920.0,0.5333333333333333,0.32005334222370396
